Faculty,Startup,Cohort,Gender,Cohort_Copy,Year
Engineering,MagneTube (a medical products),9th,Female,9.0,2023
Humanities and Social Sciences,Desite,10th,Female,10.0,2023
Engineering,The DocMapper,10th,Female,10.0,2023
Business and Management,floating glasses sleeve ,8th,Male,8.0,2022
,bioreactor optimization,10th,Male,10.0,2023
Engineering,FACEIT,4th,,4.0,2020
Engineering,JobU,11th,Male,11.0,2024
,DV,7th,Male,7.0,2022
Engineering,,,Male,,
Engineering,Orgenize your cooking,8th,Female,8.0,2022
Humanities and Social Sciences,Amegegnehu,10th,Male,10.0,2023
,Street pro,7th,Male,7.0,2022
,TalentFlow,10th,,10.0,2023
Natural Sciences,goji,6th,,6.0,2021
Engineering,Diabetes fragility Detector,11th,Male,11.0,2024
,TPIM- text protection in motion,8th,Male,8.0,2022
Engineering,Erafre,4th,,4.0,2020
Business and Management,IDMA Commerce,11th,Male,11.0,2024
Engineering,BASKETBALL LEBRON JAMES 23,,Male,,
Natural Sciences,Dingo Rest,5th,,5.0,2021
Natural Sciences,Shifty,10th,Female,10.0,2023
Natural Sciences,rapid biodegradable toilet papers,8th,Female,8.0,2022
Engineering,EIO,11th,Male,11.0,2024
Engineering,Optimizing Doctor Appointments,7th,Male,7.0,2022
Health Sciences,🌵🎓Fluffy,Cactus Academy,,,
Natural Sciences,Answer,4th,,4.0,2020
Engineering,Dsee,Current,Male,,
Humanities and Social Sciences,Ozen Kashevet,7th,Male,7.0,2022
,M-adas,7th,Male,7.0,2022
Business and Management,M-ADAS,4th,,4.0,2020
Engineering,Breaking Boundaries,9th,Male,9.0,2023
Health Sciences,פטריוֹת בריאוּת,10th,Male,10.0,2023
Natural Sciences,Consciousness index,8th,Female,8.0,2022
,ECHO,10th,Female,10.0,2023
Business and Management,UMeGo,6th,Male,6.0,2021
Business and Management,Effortless Fitness,4th,,4.0,2020
Engineering,An Implanted Syringe,9th,Male,9.0,2023
Engineering,Implanted Syringe,9th,Male,9.0,2023
Engineering,Fantasticode,8th,Male,8.0,2022
Natural Sciences,A trip generator. That can offer you a full trip recommendations based on your preference and ai tools,11th,Male,11.0,2024
Business and Management,Quick consume,11th,Male,11.0,2024
Business and Management,Cleaner,11th,Male,11.0,2024
Natural Sciences,ChikChat,10th,Male,10.0,2023
Business and Management,BuildShield,9th,Male,9.0,2023
Health Sciences,Social/free market app,7th,Male,7.0,2022
Cognitive Science,Mind Trainer,7th,Male,7.0,2022
Engineering,Plant-Sitter,10th,Male,10.0,2023
Natural Sciences,WeRun,5th,,5.0,2021
Engineering,Mommy,9th,Male,9.0,2023
Humanities and Social Sciences,Havaya חוויה,7th,Male,7.0,2022
Natural Sciences,myDojo,7th,Male,7.0,2022
Law and Business from Tel Aviv University,Spread-It,5th,,5.0,2021
Natural Sciences,Seacure,5th,,5.0,2021
Engineering,Kazoom,4th,,4.0,2020
Engineering,Rally,4th,,4.0,2020
Engineering,3D Green,4th,,4.0,2020
Engineering,Roommatch,8th,Male,8.0,2022
,We Power Energy Company,Current,Male,,
not bgu,Welfare in dairy-barn,6th,Male,6.0,2021
Health Sciences,ChatPDFbASKETBALL,,Male,,
,"""Digital Twin—IoT and Soil-Crop Imaging, a Robust smart Farming Solution""",Current,Female,,
Humanities and Social Sciences,National young women parliament in the shadow of the corona,5th,,5.0,2021
,Desite,10th,Female,10.0,2023
Health Sciences,Boobies,7th,Female,7.0,2022
Engineering,Bonobo,10th,Female,10.0,2023
Engineering,3D Printer Filaments Combining,4th,,4.0,2020
Engineering,Coddy,9th,Male,9.0,2023
Engineering,Groupidy,5th,,5.0,2021
Natural Sciences,Pie-Live Life Easy,6th,Female,6.0,2021
Natural Sciences,Fakenews hunter,6th,Female,6.0,2021
Natural Sciences,Flare,5th,,5.0,2021
Business and Management,BASKETBALL LEBRON JAMES 23,,Male,,
Business and Management,,,Male,,
Engineering,TripTip,10th,Female,10.0,2023
Natural Sciences,Echo Rogue,8th,Male,8.0,2022
Engineering,Smart Sprinkler,6th,Male,6.0,2021
Engineering,electrical watersprinkler,5th,,5.0,2021
Engineering,Re-plastic,7th,Male,7.0,2022
Engineering,EduTAllor,11th,Male,11.0,2024
Engineering,Third eye,10th,Male,10.0,2023
Engineering, AI Chatbot Assistant,10th,Male,10.0,2023
Engineering,Sobiter,10th,Male,10.0,2023
Engineering,לפתור את בעיית ההתמכרות בכל סוג,9th,Male,9.0,2023
Engineering,Rally,4th,,4.0,2020
Humanities and Social Sciences,Avatar Bill,9th,Female,9.0,2023
Natural Sciences,TrueMate,4th,,4.0,2020
Humanities and Social Sciences,MaWay,Current,Female,,
Humanities and Social Sciences,MaWay,11th,Female,11.0,2024
Natural Sciences,GetLoose,Current,Male,,
Engineering,SwimSafe,4th,,4.0,2020
Business and Management,DeliGate,10th,Female,10.0,2023
Humanities and Social Sciences,The Treehouse,4th,,4.0,2020
Engineering,Challenge Accepted,8th,Male,8.0,2022
Humanities and Social Sciences,CyberFit למגזר ציבורי,4th,,4.0,2020
Natural Sciences,STURKIT,8th,Female,8.0,2022
,Skua.ai,7th,Male,7.0,2022
Business and Management,TrueMate,4th,,4.0,2020
,EduVision,7th,Male,7.0,2022
Engineering,TheraPlay,7th,Male,7.0,2022
,IDMA Commerce,11th,Male,11.0,2024
Engineering,no name yet,8th,Male,8.0,2022
Business and Management,GOTIT,7th,Male,7.0,2022
Natural Sciences,"""Buscall - An application that passengers can download to their smartphones.  A passenger that wants to go on a certain bus, will signal the bus on the app.  The app will send the signal to the relevant bus and inform the driver that there’s a passenger awaiting.""",7th,Male,7.0,2022
Business and Management,Indy,4th,,4.0,2020
Engineering,Studentica,4th,,4.0,2020
Business and Management,Gardinio,6th,Male,6.0,2021
Engineering,Zavat,6th,Male,6.0,2021
Business and Management,Pop Star,9th,Male,9.0,2023
,Dive log app,9th,Male,9.0,2023
Natural Sciences,בזרימה,6th,Male,6.0,2021
Business and Management,SUBIL Technologies ltd.;,Current,Male,,
Engineering,Altrainative,6th,Female,6.0,2021
Engineering,🌵 🎓 easystream,Cactus Academy,,,
Engineering,B - Cycle,4th,,4.0,2020
Health Sciences,STEP Bypass Prosthesis,11th,Female,11.0,2024
Business and Management,soilio,9th,Female,9.0,2023
Natural Sciences,Summer internships for students in Israel,5th,,5.0,2021
Humanities and Social Sciences,Yes we do speak English,6th,Female,6.0,2021
Engineering,foodata,9th,Female,9.0,2023
Natural Sciences,route.ai? (no name yet),6th,Male,6.0,2021
Business and Management,Indy,4th,,4.0,2020
Health Sciences,🌵🎓Fluffy,Cactus Academy,,,
,MyceliaWay,9th,Female,9.0,2023
Natural Sciences,WiseWatch,10th,Male,10.0,2023
Natural Sciences,Athena,10th,Male,10.0,2023
Natural Sciences,AI Shortcut,8th,Male,8.0,2022
Engineering,AllerBite,11th,Male,11.0,2024
,Syndicate,7th,Male,7.0,2022
Engineering,Smart Appointment Management System - Dynamic and Automated Appointment Scheduling,Current,Female,,
Health Sciences,Date rape drug detection,5th,,5.0,2021
Engineering,Accelerating Machine Learning for the IoT Market,7th,Male,7.0,2022
Business and Management,SendWith,5th,,5.0,2021
Business and Management,Louder,9th,Female,9.0,2023
Health Sciences,EasyCare,8th,Female,8.0,2022
Natural Sciences,Mashcantas,9th,Male,9.0,2023
Engineering,MelaseNZ - Diagnoztics,7th,Male,7.0,2022
Engineering,Tango,7th,Male,7.0,2022
Humanities and Social Sciences,Savanna Sun,4th,,4.0,2020
Business and Management,vsm-virtual student mall,6th,Male,6.0,2021
Natural Sciences,TPIM- text protection in motion,8th,Male,8.0,2022
Humanities and Social Sciences,youth connectube,10th,Female,10.0,2023
Humanities and Social Sciences,Eco dynamic,8th,Female,8.0,2022
Humanities and Social Sciences,soilio,9th,Female,9.0,2023
Engineering,Dit by nosolo,9th,Female,9.0,2023
Natural Sciences,🌵🎓Disco,Cactus Academy,,,
Business and Management,active tour (temporary name),8th,Male,8.0,2022
Natural Sciences,ANY,10th,Female,10.0,2023
Engineering,Our Pensieve,4th,,4.0,2020
Humanities and Social Sciences,ForestShield,11th,Male,11.0,2024
Engineering,תנועת ההתיישבות בנגב המערבי,10th,Male,10.0,2023
Engineering,Smart home supply management and monitoring,9th,Male,9.0,2023
,Coddy,9th,Male,9.0,2023
Natural Sciences,Groupidy,5th,,5.0,2021
Health Sciences,Airtlas,11th,Female,11.0,2024
Business and Management,Enty,10th,Male,10.0,2023
Business and Management,Enty,9th,Male,9.0,2023
Engineering,Lifesaver Bracelet ,9th,Male,9.0,2023
Business and Management,Publish or Publish,8th,Male,8.0,2022
Natural Sciences,BioShade,4th,,4.0,2020
Engineering,CommonSense,10th,Male,10.0,2023
Engineering,Schedj - A simple platform for managing small projects,5th,,5.0,2021
,Toilet seat lifter,10th,Male,10.0,2023
Humanities and Social Sciences,MilliCare,9th,Female,9.0,2023
Business and Management,🌵 🎓 easystream,Cactus Academy,,,
Engineering,Kazoom,4th,,4.0,2020
Natural Sciences,TOM:BGU,4th,,4.0,2020
Engineering,CommuniPass,Current,Male,,
Natural Sciences,smart basketball,9th,Male,9.0,2023
Engineering,P.EYE.NO,4th,,4.0,2020
Engineering,P.EYE.NO,5th,,5.0,2021
Natural Sciences,WeTeach,4th,,4.0,2020
,HairU,10th,Male,10.0,2023
,Listo,Current,,,
,Match day,Current,,,
,Easy Hydro,Current,,,
,Rufoof,Current,,,
,Ai automation for cad design,Current,,,
,Caseo,Current,,,
,Meeting Point,Current,,,
,Dsee,Current,,,
,BDVTrading,Current,,,
,F.B Diamond,Current,,,
,,,,,
,"""Automato system , startup : AgriTech Innovations""",11th,,11.0,2024
,Eroom,11th,,11.0,2024
,Algo-Rhythm,11th,,11.0,2024
,Diabetes fragility Detector,11th,,11.0,2024
,StepAhead,11th,,11.0,2024
,ForestShield,11th,,11.0,2024
,Cytox,11th,,11.0,2024
,Green Home Fresher,11th,,11.0,2024
,Scoot-Walker,11th,,11.0,2024
,down2earth,11th,,11.0,2024
,Social Order,11th,,11.0,2024
,Airtlas,11th,,11.0,2024
,PAOZA,11th,,11.0,2024
,E.C.H.O,11th,,11.0,2024
,getlose,11th,,11.0,2024
,Tipsy King,11th,,11.0,2024
,THERAPEUTICAI,11th,,11.0,2024
,תנועת ההתיישבות בנגב המערבי,10th,,10.0,2023
,Jiv,10th,,10.0,2023
,Ventim,10th,,10.0,2023
,Charge4car,10th,,10.0,2023
,AI traveling agent,10th,,10.0,2023
,Infolin,10th,,10.0,2023
,Toilet seat lifter,10th,,10.0,2023
,Bang your head,10th,,10.0,2023
,sandra,10th,,10.0,2023
,Customized Podcast,10th,,10.0,2023
,Bonobo,10th,,10.0,2023
,BSO,10th,,10.0,2023
,TripTip,10th,,10.0,2023
,ECHO,10th,,10.0,2023
,ElectriWall,9th,,9.0,2023
,Dive log app,9th,,9.0,2023
,Louder,9th,,9.0,2023
,Implanted Syringe,9th,,9.0,2023
,automatic judge,9th,,9.0,2023
,Hear Clear,9th,,9.0,2023
,,,,,
,GlaucoMonitor,9th,,9.0,2023
,Remora,9th,,9.0,2023
,Dit by nosolo,9th,,9.0,2023
,Coddy,9th,,9.0,2023
,Goaly,9th,,9.0,2023
,Avatar Bill,9th,,9.0,2023
,Amenoti,9th,,9.0,2023
,,,,,
,,,,,
,,,,,
,MyceliaWay,9th,,9.0,2023
,Kasset,9th,,9.0,2023
,,,,,
,Application to sell clothes secondhand (all over Israel),8th,,8.0,2022
,IntelliTennis,8th,,8.0,2022
,Indonesia Israel Center,8th,,8.0,2022
,ZENAT,8th,,8.0,2022
,Sentimedia.io,8th,,8.0,2022
,EasyCare,8th,,8.0,2022
,MangaRead,8th,,8.0,2022
,Two ideas:1- virtuals school app  ased on 3 min videos for learning2:streamer with built in camera to help elder people communicate through tv,8th,,8.0,2022
,EcoAc,8th,,8.0,2022
,Maxovary,8th,,8.0,2022
,,,,,
,Roommatch,8th,,8.0,2022
,i.vus,8th,,8.0,2022
,Co-Beauty,8th,,8.0,2022
,Fantasticode,8th,,8.0,2022
,Shake it,8th,,8.0,2022
,Gama,8th,,8.0,2022
,active tour (temporary name),8th,,8.0,2022
,neuro+,8th,,8.0,2022
,Peazy.com,8th,,8.0,2022
,Genesis AI,8th,,8.0,2022
,Toparking,8th,,8.0,2022
,Gotcha,8th,,8.0,2022
,STURKIT,8th,,8.0,2022
,MonkeyGunz,8th,,8.0,2022
,Nitro-gen,8th,,8.0,2022
,AI Shortcut,8th,,8.0,2022
,Orderly,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Accelerating Machine Learning for the IoT Market,7th,,7.0,2022
,Skua.ai,7th,,7.0,2022
,DV,7th,,7.0,2022
,Mind Trainer,7th,,7.0,2022
,Optimizing Doctor Appointments,7th,,7.0,2022
,GOTIT,7th,,7.0,2022
,Street pro,7th,,7.0,2022
,smart socks,7th,,7.0,2022
,Tango,7th,,7.0,2022
,LoBigDeal,7th,,7.0,2022
,Just Food,7th,,7.0,2022
,Just Food,7th,,7.0,2022
,Pick,7th,,7.0,2022
,Havaya חוויה,7th,,7.0,2022
,Shake It,7th,,7.0,2022
,Stats.,7th,,7.0,2022
,PrepMe,7th,,7.0,2022
,Yarden,7th,,7.0,2022
,AI Trainer,7th,,7.0,2022
,Home Diagnosis for Breast Cancer,7th,,7.0,2022
,M-adas,7th,,7.0,2022
,Click Delivery,7th,,7.0,2022
,Color Comparison between two objects - The ZikoScope,7th,,7.0,2022
,SkillSwipe,7th,,7.0,2022
,alert-me,7th,,7.0,2022
,Tutor,7th,,7.0,2022
,Smenu,7th,,7.0,2022
